Product code	Product name	Product code	Vendor name	Selling units	Packing units	pack /selling units	ไข่ (ฟอง) /pack	ไข่ (ฟอง) /selling units	Packaging cost per selling units	Packaging cost per ฟอง	Size ไข่ A 	Size ไข่ B	% SKU A	ฟองต่อ/selling units A	ฟองต่อ/selling units B	SKU size	Size ตะกร้า	pack ฐาน	ฝาครอบ	ฉลาก barcode SKUs	ฉลาก label/sticker	Closer 1	Closer 2	ฉลาก barcode Bulk
M0003	812399 ARO ไข่ไก่เบอร์ 0 (10ฟอง/แพ็ค)	M0003	MK	แพ็ค 10	แพ็ค 10 - ใหญ่	1.000	10	10	#REF!	#REF!	0		100%	10	0	0	no	90010		91214	91215			
M0004	901172 ARO ไข่ไก่ เบอร์ 0 มีฝา 30 ฟอง	M0004	MK	ถาด	ถาดใหญ่/ครอบ	1.000	30	30	#REF!	#REF!	0		100%	30	0	0	no	90002	90006	91214	91201	90013		
M0005	812402 ARO ไข่ไก่เบอร์ 1 (10ฟอง/แพ็ค)	M0005	MK	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	1		100%	10	0	1	no	90009		91214	91216			
M0006	198419 ARO ไข่ไก่ เบอร์ 1 แพ็ค 15 ฟอง	M0006	MK	แพ็ค 15	แพ็ค 15	1.000	15	15	#REF!	#REF!	1		100%	15	0	1	no	90008		91214	91220			
M0007	901175 ARO ไข่ไก่ เบอร์ 1 มีฝา 30 ฟอง	M0007	MK	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	1		100%	30	0	1	no	90001	90005	91214	91202	90013		
M0008	812398 AROไข่ไก่เบอร์ 2 (10ฟอง/แพ็ค)	M0008	MK	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	2		100%	10	0	2	no	90009		91214	91217			
M0009	198445 ARO ไข่ไก่ เบอร์ 2 แพ็ค 15 ฟอง	M0009	MK	แพ็ค 15	แพ็ค 15	1.000	15	15	#REF!	#REF!	2		100%	15	0	2	no	90008		91214	91221			
M0010	198368 ARO ไข่ไก่ เบอร์ 2 มีฝา 30 ฟอง	M0010	MK	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	2		100%	30	0	2	no	90001	90005	91214	91203	90013		
M0011	ARO ไข่ไก่ เบอร์ 2 ไม่มีฝา 30 ฟอง	M0011	MK	ถาด	ถาด	1.000	30	30	#REF!	#REF!	2		100%	30	0	2	no	90001		91214	91203			
M0012	913732 ARO ไข่ไก่เบอร์ 2 ไม่มีฝา 30 ฟองx5	M0012	MK	มัด 5	มัด 5	5.000	30	150	#REF!	#REF!	2		100%	150	0	2	no	90001		91214		90012		91207
M0013	812401 ARO ไข่ไก่เบอร์ 3 (10ฟอง/แพ็ค)	M0013	MK	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	3		100%	10	0	3	no	90009		91214	91218			
M0014	864156 ARO ไข่ไก่ เบอร์ 3 มีฝา 30 ฟอง	M0014	MK	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	3		100%	30	0	3	no	90001	90005	91214	91204	90013		
M0015	913734 ARO ไข่ไก่เบอร์ 3 ไม่มีฝา 30 ฟองx5	M0015	MK	มัด 5	มัด 5	5.000	30	150	#REF!	#REF!	3		100%	150	0	3	no	90001		91214		90012		91208
M0016	812400 ARO ไข่ไก่เบอร์ 4 (10ฟอง/แพ็ค)	M0016	MK	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	4		100%	10	0	4	no	90009		91214	91219			
M0017	913728 ARO ไข่ไก่เบอร์ 4 มีฝา 30 ฟอง	M0017	MK	ถาด	ถาด/ครอบ	1.000	30	30	#REF!	#REF!	4		100%	30	0	4	no	90001	90005	91214	91205	90013		
M0018	901422 ARO ไข่ไก่เบอร์ 4 ไม่มีฝา 30 ฟองx4	M0018	MK	มัด 4	มัด 4	4.000	30	120	#REF!	#REF!	4		100%	120	0	4	no	90001		91214		90012		91210
M0019	913726 ARO ไข่ไก่เบอร์ 5 ไม่มีฝา 30 ฟองx4	M0019	MK	มัด 4	มัด 4	4.000	30	120	#REF!	#REF!	5		100%	120	0	5	no	90001		91214		90012		91211
M0020	ARO ไข่ไก่เบอร์ 4 ไม่มีฝา 30 ฟอง	M0020	MK	ถาด	ถาด	1.000	30	30	#REF!	#REF!	4		100%	30	0	4	no	90001		91214	91205			
M0021	ARO ไข่ไก่เบอร์ 3 ไม่มีฝา 30 ฟอง	M0021	MK	ถาด	ถาด	1.000	30	30	#REF!	#REF!	3		100%	30	0	3	no	90001		91214	91204			
M0022	ARO ไข่ไก่เบอร์ 3 (12 ฟอง/แพ็ค)	M0022	MK	แพ็ค 12	แพ็ค 12	1.000	12	12	#REF!	#REF!	3		100%	12	0	3	no	90016		91214	91212			
M0023	ARO ไข่ไก่เบอร์ 3-4 (10 ฟอง/แพ็ค)	M0023	MK	แพ็ค 10	แพ็ค 10	1.000	10	10	#REF!	#REF!	3	4	50%	5	5	3-4 S	no	90001	90005	91214	91204	90013		
S0001	MSP-EGGS ไข่ไก่เบอร์ 0 มีฝา 30 ฟอง	S0001	MS	ฟอง	ถาดใหญ่/ครอบ	0.033	30	1	#REF!	#REF!	0		100%	1	0	0	no	90002	90006	91214		90013		
S0002	MSP-EGGS ไข่ไก่เบอร์ 1 มีฝา 30 ฟอง	S0002	MS	ฟอง	ถาด/ครอบ	0.033	30	1	#REF!	#REF!	1		100%	1	0	1	no	90001	90005	91214		90013		
S0003	MSP-EGGS ไข่ไก่เบอร์ 2 มีฝา 30 ฟอง	S0003	MS	ฟอง	ถาด/ครอบ	0.033	30	1	#REF!	#REF!	2		100%	1	0	2	no	90001	90005	91214		90013		
S0004	MSP-EGGS ไข่ไก่เบอร์ 3 มีฝา 30 ฟอง	S0004	MS	ฟอง	ถาด/ครอบ	0.033	30	1	#REF!	#REF!	3		100%	1	0	3	no	90001	90005	91214		90013		
S0005	MSP-EGGS ไข่ไก่เบอร์ 4 มีฝา 30 ฟอง	S0005	MS	ฟอง	ถาด/ครอบ	0.033	30	1	#REF!	#REF!	4		100%	1	0	4	no	90001	90005	91214		90013		
S0006	MSP-EGGS ไข่ไก่เบอร์ 0 ไม่มีฝา 30 ฟอง	S0006	MS	ฟอง	ถาดใหญ่	0.033	30	1	#REF!	#REF!	0		100%	1	0	0	no	90002		91214				
S0007	MSP-EGGS ไข่ไก่เบอร์ 1 ไม่มีฝา 30 ฟอง	S0007	MS	ฟอง	ถาด	0.033	30	1	#REF!	#REF!	1		100%	1	0	1	no	90001		91214				
S0008	MSP-EGGS ไข่ไก่เบอร์ 2 ไม่มีฝา 30 ฟอง	S0008	MS	ฟอง	ถาด	0.033	30	1	#REF!	#REF!	2		100%	1	0	2	no	90001		91214				
S0009	MSP-EGGS ไข่ไก่เบอร์ 3 ไม่มีฝา 30 ฟอง	S0009	MS	ฟอง	ถาด	0.033	30	1	#REF!	#REF!	3		100%	1	0	3	no	90001		91214				
S0010	MSP-EGGS ไข่ไก่เบอร์ 4 ไม่มีฝา 30 ฟอง	S0010	MS	ฟอง	ถาด	0.033	30	1	#REF!	#REF!	4		100%	1	0	4	no	90001		91214				
T0001	2000000524 ไข่ไก่เบอร์1 แพ็ค 30 ฟอง	T0001	TF	ถาด	ถาด	1.000	30	30	#REF!	#REF!	1		100%	30	0	1	no	90001	90005	91214				
